x,y,dir,enemyCount,distBucket,move,face,q
-8,-4,w,2,2,h,n,38.40031432291592
-4,3,w,0,1,k,e,338.3274455403297
-8,-4,w,2,2,h,s,34.47962993983404
-4,3,w,0,1,k,s,338.1959061685587
16,-9,s,0,6,j,w,15.304647263849494
-4,3,w,0,1,k,n,338.49714433356417
16,-9,s,0,6,j,s,13.85226869129354
-8,-10,s,0,4,h,n,118.98779689951309
14,-8,w,0,5,h,n,31.519861832626223
16,-9,s,0,6,j,n,12.403808320129802
-8,-10,s,0,4,h,s,121.21501031267529
-18,0,e,1,6,s,e,1.2819860787358441
-3,-9,w,0,3,s,e,234.37581649697097
-8,-4,w,2,2,h,e,92.12718845625508
14,-8,w,0,5,h,e,40.172236932890016
-8,-10,s,0,4,h,w,98.18283867589138
16,-9,s,0,6,j,e,14.506324954218139
-3,-9,w,0,3,s,n,232.23069938906985
1,-3,n,0,1,l,w,353.75427345777786
-14,-2,e,0,4,j,w,46.09247999541326
-17,9,n,2,6,h,e,-0.01833337010008158
-14,0,n,0,4,s,w,19.808548595653022
-6,-1,w,0,2,h,w,294.25514406167406
-14,-2,e,0,4,j,s,72.37638658821389
16,-9,s,0,6,k,e,6.023583735049669
-14,0,n,0,4,s,s,38.981460755370534
-14,-2,e,0,4,j,n,56.26582491004991
-3,-9,w,0,3,s,w,234.69667321079905
-14,0,n,0,4,s,n,32.3552390091773
-8,-10,s,0,4,h,e,97.26554585654014
-17,9,n,2,6,h,n,-0.3599375718861641
-3,-9,w,0,3,s,s,233.93248327729572
1,-3,n,0,1,l,e,353.79994036881635
-14,-2,e,0,4,j,e,74.3654125400503
-8,10,e,0,4,l,w,138.08373680797965
-6,-1,w,0,2,h,e,294.0635015346802
-4,3,w,0,1,k,w,338.25368482927024
-6,-1,w,0,2,h,s,294.2981410653896
1,-3,n,0,1,l,n,354.20272406559974
1,-3,n,0,1,l,s,353.73766443604575
-6,-1,w,0,2,h,n,294.06607525321664
-6,-1,w,0,2,j,e,334.3624313668285
18,0,w,0,6,j,n,9.574541558088061
-4,3,w,0,1,j,e,292.17114428079475
