x,y,dir,enemyCount,distBucket,move,face,q
16,-7,s,4,5,l,w,2.049434432599039
-4,3,w,0,1,k,e,340.0450552910515
18,-4,s,2,6,l,n,1.283745283844027
-4,3,w,0,1,k,s,339.6713403199165
16,-9,s,0,6,j,w,15.855618591336892
-4,3,w,0,1,k,n,339.7551298073618
16,-9,s,0,6,j,s,14.697099715316092
-8,-10,s,0,4,h,n,109.64008872582318
14,-8,w,0,5,h,n,49.01650024010729
16,-9,s,0,6,j,n,11.785111793106136
-8,-10,s,0,4,h,s,115.29960409635392
-3,-9,w,0,3,s,e,233.5081238000971
14,-8,w,0,5,h,e,39.06002708706653
-8,-10,s,0,4,h,w,120.70166535507829
16,-9,s,0,6,j,e,12.728050090893092
-3,-9,w,0,3,s,n,234.96290371772793
-14,-2,e,0,4,j,w,63.09060225313441
1,-3,n,0,1,l,w,355.681003774014
-14,0,n,0,4,s,w,51.18064191719362
-6,-1,w,0,2,h,w,293.723420683736
16,-9,s,0,6,k,e,11.41453434829778
-14,-2,e,0,4,j,s,76.64700292763078
-14,0,n,0,4,s,s,42.6341446699077
-14,-2,e,0,4,j,n,54.15933627861734
-3,-9,w,0,3,s,w,229.33401929570746
-14,0,n,0,4,s,n,50.422312571927684
-8,-10,s,0,4,h,e,103.41491624653547
-3,-9,w,0,3,s,s,233.40592199735391
1,-3,n,0,1,l,e,355.7836575959878
-14,-2,e,0,4,j,e,54.58369825518483
-8,10,e,0,4,l,w,147.0322999149743
-6,-1,w,0,2,h,e,293.87178227371464
-4,3,w,0,1,k,w,339.3538119752273
1,-3,n,0,1,l,n,356.1657499881655
-6,-1,w,0,2,h,s,293.90288594522775
18,2,w,4,6,j,s,3.7038603311610947
1,-3,n,0,1,l,s,356.1823898323279
-6,-1,w,0,2,h,n,293.8183566289914
-6,-1,w,0,2,j,e,334.92947239207047
18,0,w,0,6,j,n,11.154246932254035
-4,3,w,0,1,j,e,293.14684410066957
-6,-1,w,0,2,j,n,334.84597258670703
18,0,w,0,6,j,w,12.657613673252959
-4,3,w,0,1,j,n,292.7332182239853
18,0,w,0,6,j,s,10.668891386452271
-14,0,n,0,4,s,e,38.707428827162595
-14,-2,e,0,4,h,w,83.91084500953106
-14,-2,e,0,4,h,s,68.27542035071984
-14,-2,e,0,4,h,n,71.48566228737053
16,-7,s,4,5,k,n,1.9132336911506633
1,-3,n,0,1,k,s,353.9878517900476
1,-3,n,0,1,k,w,354.1434150755033
18,-4,s,2,6,l,w,1.7665250981726281
-4,3,w,0,1,j,w,293.0225706598689
1,-3,n,0,1,k,e,354.0693363339263
18,-4,s,2,6,l,s,0.8659672861446324
-4,3,w,0,1,j,s,293.29059712797016
1,-3,n,0,1,k,n,354.2969279737857
18,0,w,0,6,j,e,10.2213731392478
-8,10,e,0,4,k,e,149.86782280781546
16,-9,s,0,6,h,w,19.31841050666284
14,-8,w,0,5,j,e,20.141087574292573
16,-9,s,0,6,h,s,17.90816869746937
-6,-1,w,0,2,k,e,317.2245590513628
-6,-1,w,0,2,k,s,317.18182305956555
-8,10,e,0,4,k,n,155.29182206616315
18,-4,s,2,6,j,e,2.7221078228405045
-6,-1,w,0,2,k,n,317.11556569683125
16,-9,s,0,6,h,n,12.579024971560719
14,-8,w,0,5,j,s,13.741022715415411
-8,-10,s,0,4,j,w,158.4081582332968
16,-9,s,0,6,h,e,16.833013791185863
14,-8,w,0,5,j,w,19.026493311120774
-17,5,s,0,5,s,e,17.27792633941936
14,-8,w,0,5,j,n,18.950440505917594
-8,-10,s,0,4,j,e,160.36915141599314
-17,5,s,0,5,s,n,15.940726713215716
1,-3,n,0,1,j,n,406.75450035360404
-8,-10,s,0,4,j,n,157.4899270810102
-17,5,s,0,5,s,s,17.360559815459453
1,-3,n,0,1,j,s,406.8419517837443
-14,-2,e,0,4,l,w,146.40582434792142
-17,5,s,0,5,s,w,18.212663476481932
-14,-2,e,0,4,l,s,154.1371432507854
1,-3,n,0,1,j,w,408.3619856324644
-8,-10,s,0,4,j,s,162.3836813203909
-1,-10,s,0,3,s,w,198.72997450946306
-14,-2,e,0,4,l,n,163.58110742262807
-6,-1,w,0,2,j,s,335.23692527647006
-8,10,e,0,4,j,n,124.0849232161882
1,-3,n,0,1,j,e,406.89718462582425
-8,10,e,0,4,j,w,109.00768729291792
16,6,n,5,5,k,w,5.86039645669573
-14,-2,e,0,4,l,e,129.40876918873155
-6,-1,w,0,2,j,w,335.1850152126249
-1,-10,s,0,3,s,s,207.00045848408564
-8,10,e,0,4,j,s,125.39269549457303
16,6,n,5,5,k,s,1.4045284906282298
-4,3,w,0,1,l,n,340.13855173910963
18,0,w,0,6,h,e,23.57476712373166
-6,-1,w,0,2,l,n,342.53693966699086
