x,y,dir,enemyCount,distBucket,move,face,q
-8,-4,w,2,2,h,n,23.64768992050942
-4,3,w,0,1,k,e,337.40089104949305
-8,-4,w,2,2,h,s,11.348862275491548
-8,-4,w,2,2,h,w,18.130914123013405
-4,3,w,0,1,k,s,337.3152051182464
16,-9,s,0,6,j,w,17.406425678925306
-4,3,w,0,1,k,n,337.4875881464308
16,-9,s,0,6,j,s,24.219088716324258
-8,-10,s,0,4,h,n,120.77551686644347
14,-8,w,0,5,h,n,47.08661701157948
16,-9,s,0,6,j,n,13.95709429728029
-8,-10,s,0,4,h,s,123.5086496809656
-3,-9,w,0,3,s,e,231.00671142425654
-8,-4,w,2,2,h,e,3.397863016827853
14,-8,w,0,5,h,e,55.74175567369636
-8,-10,s,0,4,h,w,119.25500302893357
16,-9,s,0,6,j,e,17.385110288777746
-3,-9,w,0,3,s,n,232.3797278160966
1,-3,n,0,1,l,w,351.78478376677657
-14,-2,e,0,4,j,w,44.52811521101295
-17,9,n,2,6,h,e,2.131905591324413
-14,0,n,0,4,s,w,38.33237242051823
-6,-1,w,0,2,h,w,294.09980970603357
-14,-2,e,0,4,j,s,42.37694576299843
16,-9,s,0,6,k,e,10.636772435914601
-14,0,n,0,4,s,s,36.52306107405805
-14,-2,e,0,4,j,n,67.95239473637758
-3,-9,w,0,3,s,w,232.81799027758788
-14,0,n,0,4,s,n,35.695841058558365
-8,-10,s,0,4,h,e,117.85960494628172
-17,9,n,2,6,h,n,-0.2985013295011802
-3,-9,w,0,3,s,s,234.23896373078762
-14,-2,e,0,4,j,e,61.844220099447625
1,-3,n,0,1,l,e,352.1813876952792
-8,10,e,0,4,l,w,150.57128580061254
-6,-1,w,0,2,h,e,294.1722279608763
-4,3,w,0,1,k,w,336.99963272969836
1,-3,n,0,1,l,n,351.99547004471066
-6,-1,w,0,2,h,s,294.0869492699236
1,-3,n,0,1,l,s,352.4725298991879
-6,-1,w,0,2,h,n,294.1187861534027
-6,-1,w,0,2,j,e,334.74456968685075
18,0,w,0,6,j,n,10.153549927943319
-4,3,w,0,1,j,e,292.71399159981553
-18,2,e,5,6,s,e,0.21356067399486112
-6,-1,w,0,2,j,n,334.8193409487499
18,0,w,0,6,j,w,12.955623620129126
-4,3,w,0,1,j,n,292.6912769327304
-14,2,n,4,4,s,w,0.23787067216595956
18,0,w,0,6,j,s,9.147985898565349
-14,2,n,4,4,s,s,1.0702626471737149
-17,9,n,2,6,h,w,0.34128723693525437
-14,0,n,0,4,s,e,37.45124041247071
-14,2,n,4,4,s,n,0.18070497136569125
-18,2,e,5,6,s,w,1.2134680537063438
-14,-2,e,0,4,h,w,51.160793252113436
-18,2,e,5,6,s,s,2.9698325252211064
-14,-2,e,0,4,h,s,46.361034202429394
-14,2,n,4,4,s,e,17.700972146080794
-14,-2,e,0,4,h,n,63.87976669060513
1,-3,n,0,1,k,s,350.7680676772204
1,-3,n,0,1,k,w,350.8996084797898
-4,3,w,0,1,j,w,292.7133603008348
1,-3,n,0,1,k,e,350.7914216957774
-4,3,w,0,1,j,s,292.7095136772941
1,-3,n,0,1,k,n,350.7202268828332
18,0,w,0,6,j,e,10.634434152608188
-8,10,e,0,4,k,e,151.27656417823192
16,-9,s,0,6,h,w,21.98597438471376
16,-9,s,0,6,h,s,19.663313910304918
14,-8,w,0,5,j,e,24.330361150469006
-6,-1,w,0,2,k,e,317.2498017938805
-8,10,e,0,4,k,n,144.2383061054569
-6,-1,w,0,2,k,s,317.30798787273875
-6,-1,w,0,2,k,n,317.2839282996689
16,-9,s,0,6,h,n,18.83853021730106
14,-8,w,0,5,j,s,16.096737297401567
-8,-10,s,0,4,j,w,160.68469750735275
16,-9,s,0,6,h,e,25.075811510919912
14,-8,w,0,5,j,w,21.91129821123919
-17,5,s,0,5,s,e,15.308603653453698
14,-8,w,0,5,j,n,24.873857653874534
-8,-10,s,0,4,j,e,165.9977036105643
1,-3,n,0,1,j,n,402.0371960319741
-17,5,s,0,5,s,n,12.280376316678622
-8,-10,s,0,4,j,n,167.08561984086074
1,-3,n,0,1,j,s,402.3258150698101
-17,5,s,0,5,s,s,17.287655957444258
-14,-2,e,0,4,l,w,124.60316617476109
-8,-10,s,0,4,j,s,172.26434056582423
1,-3,n,0,1,j,w,402.3080877779024
-14,-2,e,0,4,l,s,171.07957456820066
-17,5,s,0,5,s,w,14.38549085833641
-1,-10,s,0,3,s,w,208.02447071225248
-6,-1,w,0,2,j,s,334.85831019835996
-8,10,e,0,4,j,n,137.73385053293373
-14,-2,e,0,4,l,n,130.81870140841565
1,-3,n,0,1,j,e,402.2933142039851
-8,10,e,0,4,j,w,139.05660156130295
-14,-2,e,0,4,l,e,133.08989787624992
-6,-1,w,0,2,j,w,334.95335808761666
-1,-10,s,0,3,s,s,209.69565443705406
-8,10,e,0,4,j,s,126.56944205241336
-4,3,w,0,1,l,n,337.54406323049204
18,0,w,0,6,h,e,23.184458953736698
-6,-1,w,0,2,l,n,341.47253849521906
-8,10,e,0,4,l,e,164.17644632164797
-6,-1,w,0,2,l,w,341.3244685346783
-4,3,w,0,1,l,w,337.4518776515435
-8,10,e,0,4,l,s,143.05619496629805
18,0,w,0,6,h,n,17.341138858442694
-6,-1,w,0,2,l,s,341.5450423484135
-8,10,e,0,4,l,n,158.28982234973162
-4,3,w,0,1,l,s,337.61327838552415
18,0,w,0,6,h,w,19.007574998984246
18,0,w,0,6,h,s,17.271485694254828
-6,-1,w,0,2,l,e,341.57390526002223
-4,3,w,0,1,l,e,337.56789816157095
14,-8,w,0,5,h,w,46.07372996912459
10,-1,e,0,3,l,s,248.96527980733035
-14,-2,e,0,4,k,w,87.29737663481008
10,-1,e,0,3,l,n,247.0558941545097
-14,-2,e,0,4,k,s,35.6049617931384
10,-1,e,0,3,l,e,247.08637777745895
14,-8,w,0,5,h,s,38.338710711903545
-14,-2,e,0,4,k,n,89.64764538262986
-8,10,e,0,4,k,s,148.13667154710942
-6,-1,w,0,2,k,w,317.2206201464495
-14,-2,e,0,4,k,e,94.43163464281133
-8,10,e,0,4,k,w,155.85465646269907
10,-1,e,0,3,l,w,248.47829494832015
10,-1,e,0,3,s,s,249.43914414611498
14,-8,w,0,5,l,n,14.62164825365303
3,-1,e,0,1,h,s,402.7568454849001
3,-1,e,0,1,h,w,402.48941948596934
-2,2,s,0,0,k,w,401.73456198358815
14,-8,w,0,5,l,e,15.101649048006184
10,-1,e,0,3,s,n,245.23357632157808
1,-3,n,0,1,h,s,398.002252963551
1,-3,n,0,1,h,w,398.61442065042723
3,3,w,0,1,s,w,333.52848182606084
14,-8,w,0,5,l,s,22.04944704245372
10,-1,e,0,3,s,w,243.6922561732688
3,3,w,0,1,s,s,333.7090199826881
14,-8,w,0,5,l,w,17.120929730375668
-2,2,s,0,0,l,e,401.4775580599968
-8,10,e,0,4,h,w,99.97424671056785
-17,-3,s,3,5,k,w,3.4953733012209067
-8,10,e,0,4,h,s,106.27985119139599
1,-3,n,0,1,h,e,398.08460928067745
3,1,n,0,1,s,e,376.7677048530206
-10,-9,w,0,4,h,w,79.02247333781406
-10,-9,w,0,4,h,s,83.20649457038375
1,-3,n,0,1,h,n,397.95975976682956
-2,2,s,0,0,l,w,402.19549584034144
-8,10,e,0,4,h,e,107.7083431491102
-10,-9,w,0,4,h,n,78.10751586386272
-8,10,e,0,4,h,n,106.18647619274847
-2,2,s,0,0,l,n,401.4599629385113
-10,-9,w,0,4,h,e,82.94465970085633
-2,2,s,0,0,l,s,402.0626110449334
-1,-10,s,0,3,s,n,209.2996903415953
-2,2,s,0,0,j,s,350.0438661335219
-1,-10,s,0,3,s,e,207.32780045759984
-2,2,s,0,0,j,w,350.450559137079
-8,10,e,0,4,j,e,122.36937821252651
14,-8,w,0,5,k,e,32.311481459407396
3,1,n,0,1,s,n,376.2970041737493
14,-8,w,0,5,k,w,19.28391472733704
3,1,n,0,1,s,s,377.1074438281027
3,1,n,0,1,s,w,376.57030753851114
14,-8,w,0,5,k,n,25.242416050522003
