x,y,dir,enemyCount,distBucket,move,face,q
16,-7,s,4,5,l,w,0.44234234897581015
-4,3,w,0,1,k,e,337.9119719787712
18,-4,s,2,6,l,e,6.29794129713861
18,-4,s,2,6,l,n,17.199942819607223
-4,3,w,0,1,k,s,338.08066480033347
16,-9,s,0,6,j,w,77.39850101168446
-4,3,w,0,1,k,n,338.2168464076002
16,-9,s,0,6,j,s,86.49488325768597
16,-7,s,4,5,l,e,8.756743122196196
-8,-10,s,0,4,h,n,152.8073457231926
14,-8,w,0,5,h,n,139.23089166324726
16,-9,s,0,6,j,n,83.45718266203436
-8,-10,s,0,4,h,s,152.74780032820536
16,-7,s,4,5,l,n,1.9339085680019807
-3,-9,w,0,3,s,e,235.82376518276726
14,-8,w,0,5,h,e,141.48069327610455
-8,-10,s,0,4,h,w,152.79338688135087
16,-9,s,0,6,j,e,91.82209355698846
16,-7,s,4,5,l,s,0.6650457399221295
-3,-9,w,0,3,s,n,235.78928700868954
-14,-2,e,0,4,j,w,173.04701420120435
1,-3,n,0,1,l,w,353.10864462716467
-14,0,n,0,4,s,w,149.01577965915394
-6,-1,w,0,2,h,w,294.444409008449
-14,-2,e,0,4,j,s,167.9575104310719
16,-9,s,0,6,k,e,74.396184039666
16,4,n,1,5,l,w,9.250406602219096
-14,0,n,0,4,s,s,151.7490001636022
-14,-2,e,0,4,j,n,173.65514782446422
-3,-9,w,0,3,s,w,235.8234517940808
-14,0,n,0,4,s,n,151.9640003282012
-8,-10,s,0,4,h,e,152.73650680245154
-3,-9,w,0,3,s,s,235.81746619988985
1,-3,n,0,1,l,e,352.8220460284561
-14,-2,e,0,4,j,e,173.05963516269208
-8,10,e,0,4,l,w,177.53944585535268
18,-4,s,2,6,k,n,10.698624861065284
-6,-1,w,0,2,h,e,294.5004449078914
-4,3,w,0,1,k,w,338.06955446036136
1,-3,n,0,1,l,n,352.9168820564715
-6,-1,w,0,2,h,s,294.51255322325636
18,2,w,4,6,j,s,9.003050804729758
16,4,n,1,5,l,n,5.10316587428107
1,-3,n,0,1,l,s,353.06288000979777
18,-4,s,2,6,k,w,1.5357020905027423
-6,-1,w,0,2,h,n,294.47595336043554
-6,-1,w,0,2,j,e,335.4114896028337
18,0,w,0,6,j,n,77.27640965046314
-4,3,w,0,1,j,e,293.0770573659213
16,-7,s,4,5,k,s,2.3983745002609655
16,-7,s,4,5,k,w,9.69121712535363
-6,-1,w,0,2,j,n,335.40986556869296
18,0,w,0,6,j,w,56.39925775796245
-4,3,w,0,1,j,n,293.06311256576714
18,0,w,0,6,j,s,77.77331865977716
-14,0,n,0,4,s,e,153.25567268055516
16,-7,s,4,5,k,e,0.13373425479451667
-14,-2,e,0,4,h,w,172.03969031209505
-14,-2,e,0,4,h,s,172.28488571067777
-14,-2,e,0,4,h,n,172.77987349624033
16,-7,s,4,5,k,n,8.919474176090288
1,-3,n,0,1,k,s,351.5156750883893
1,-3,n,0,1,k,w,351.4749666310955
18,-4,s,2,6,l,w,1.7493643161878358
-4,3,w,0,1,j,w,292.8831077751082
18,2,w,4,6,k,n,16.63631344787023
1,-3,n,0,1,k,e,351.3108988697566
-4,3,w,0,1,j,s,292.8503105065196
18,2,w,4,6,k,s,3.8296771562095326
1,-3,n,0,1,k,n,351.39993055758754
18,0,w,0,6,j,e,75.93238114890246
-8,10,e,0,4,k,e,177.9598700606496
18,2,w,4,6,l,e,9.543677888488585
16,-9,s,0,6,h,w,98.83538511913422
14,-8,w,0,5,j,e,104.74228557441371
16,-9,s,0,6,h,s,94.63968009881964
-6,-1,w,0,2,k,e,317.45806400255066
-8,10,e,0,4,k,n,177.95706533105096
-6,-1,w,0,2,k,s,317.69040851853816
-6,-1,w,0,2,k,n,317.4499821375899
16,-9,s,0,6,h,n,92.75681248258185
14,-8,w,0,5,j,s,91.03328418996324
-8,-10,s,0,4,j,w,177.86921311078493
14,-8,w,0,5,j,w,91.98364036959852
16,-9,s,0,6,h,e,104.68482354571512
-17,5,s,0,5,s,e,87.08607918846043
14,-8,w,0,5,j,n,108.81549594502039
-8,-10,s,0,4,j,e,177.8775742469029
1,-3,n,0,1,j,n,406.4563606691706
-17,5,s,0,5,s,n,89.39448514573918
16,6,n,5,5,k,e,18.60161772820166
-8,-10,s,0,4,j,n,177.86383840183203
1,-3,n,0,1,j,s,405.72167497179
-14,-2,e,0,4,l,w,203.43673779986813
-17,5,s,0,5,s,s,94.85780016989287
-8,-10,s,0,4,j,s,177.89042685167487
1,-3,n,0,1,j,w,409.46013769334724
-14,-2,e,0,4,l,s,203.4672633443212
-17,5,s,0,5,s,w,79.75078528389403
-1,-10,s,0,3,s,w,220.4361407974372
-6,-1,w,0,2,j,s,335.46430922542356
-8,10,e,0,4,j,n,163.56623059700897
-14,-2,e,0,4,l,n,204.09636380115688
16,6,n,5,5,k,n,1.8943848810584831
18,2,w,4,6,l,s,3.8731430650249012
1,-3,n,0,1,j,e,405.13580756604057
-8,10,e,0,4,j,w,164.88745743672118
16,6,n,5,5,k,w,5.806677932663904
-14,-2,e,0,4,l,e,203.68788866609083
-1,-10,s,0,3,s,s,220.44650098783646
-6,-1,w,0,2,j,w,335.4269225913573
-8,10,e,0,4,j,s,164.38828399063902
16,6,n,5,5,k,s,19.339360384776214
18,2,w,4,6,l,w,0.9164640128950942
-4,3,w,0,1,l,n,338.25159246499965
18,0,w,0,6,h,e,106.25205440393987
-6,-1,w,0,2,l,n,341.7696051794154
-8,10,e,0,4,l,e,177.8447017736407
-6,-1,w,0,2,l,w,341.74786097581074
-8,10,e,0,4,l,s,177.90840766813977
-4,3,w,0,1,l,w,338.21016739290735
18,0,w,0,6,h,n,85.37073514455578
-6,-1,w,0,2,l,s,341.8389049729971
-8,10,e,0,4,l,n,177.65593320063417
18,-4,s,2,6,k,e,13.597661537893309
-4,3,w,0,1,l,s,338.3263562224041
18,0,w,0,6,h,w,85.969800446167
18,0,w,0,6,h,s,91.71022609547796
-6,-1,w,0,2,l,e,341.85983995963227
-4,3,w,0,1,l,e,338.3024181193075
14,-8,w,0,5,h,w,135.32020782791187
10,-1,e,0,3,l,s,251.3474833152323
-14,-2,e,0,4,k,w,174.3961070572453
10,-1,e,0,3,l,n,251.33387317994607
-14,-2,e,0,4,k,s,175.57332904033515
16,6,n,5,5,l,e,13.903418646885239
10,-1,e,0,3,l,e,251.35701155927293
14,-8,w,0,5,h,s,144.36410147935607
-14,-2,e,0,4,k,n,174.83075565648085
-8,10,e,0,4,k,s,177.94881910009636
16,6,n,5,5,l,s,3.026527641785779
