x,y,dir,enemyCount,distBucket,move,face,q
-4,3,w,0,1,k,e,265.1123799150816
-4,3,w,0,1,k,s,148.25089082252654
16,-9,s,0,6,j,w,0.35895500875511654
-4,3,w,0,1,k,n,130.52972254002898
16,-9,s,0,6,j,s,0.36795415811733784
-8,-10,s,0,4,h,n,-0.16136811148097285
14,-8,w,0,5,h,n,0.7435060914131344
16,-9,s,0,6,j,n,0.5729766490995278
-8,-10,s,0,4,h,s,-0.010203661243210913
-3,-9,w,0,3,s,e,2.89357199323704
14,-8,w,0,5,h,e,2.957596740018433
-8,-10,s,0,4,h,w,0.3049308517302029
16,-9,s,0,6,j,e,0.9354072675504945
16,-7,s,4,5,l,s,0.8462100036713208
-3,-9,w,0,3,s,n,4.921596053823473
1,-3,n,0,1,l,w,269.51273661019
-14,-2,e,0,4,j,w,0.41483239738986843
-14,0,n,0,4,s,w,0.2842189153749596
-6,-1,w,0,2,h,w,26.127911708900832
16,-9,s,0,6,k,e,-0.21835075628149875
-14,-2,e,0,4,j,s,0.5978445794788356
-14,-2,e,0,4,j,n,0.2228009512070317
-3,-9,w,0,3,s,w,5.735143430657839
-14,0,n,0,4,s,n,0.1677173625683589
-8,-10,s,0,4,h,e,-0.09964835391591734
-3,-9,w,0,3,s,s,3.701556823288224
1,-3,n,0,1,l,e,248.25298478792055
-14,-2,e,0,4,j,e,0.41270480725290254
-8,10,e,0,4,l,w,4.095458411970275
-6,-1,w,0,2,h,e,13.933682131931958
-4,3,w,0,1,k,w,157.90550573379946
-6,-1,w,0,2,h,s,43.37117274792553
1,-3,n,0,1,l,n,282.8124245497544
1,-3,n,0,1,l,s,278.5345891835661
18,-4,s,2,6,k,w,0.2792568686189927
-6,-1,w,0,2,h,n,12.042035523851673
-6,-1,w,0,2,j,e,32.18528580098341
18,0,w,0,6,j,n,0.20222099485558365
-4,3,w,0,1,j,e,70.15803019501966
-6,-1,w,0,2,j,n,77.68237546465735
-4,3,w,0,1,j,n,40.032158445384646
18,2,w,4,6,k,e,0.25489670058745584
-14,-2,e,0,4,h,s,-0.06712578076382601
-14,-2,e,0,4,h,n,-0.9028995006664357
1,-3,n,0,1,k,s,213.26478977720112
1,-3,n,0,1,k,w,244.50960395191393
-4,3,w,0,1,j,w,96.7235485034544
1,-3,n,0,1,k,e,266.52705575270596
-4,3,w,0,1,j,s,65.25354527254584
1,-3,n,0,1,k,n,276.5581606131492
-8,10,e,0,4,k,e,3.112880604132909
18,2,w,4,6,l,e,0.10416225113951381
14,-8,w,0,5,j,e,1.0712612955620737
-6,-1,w,0,2,k,e,80.03043234070955
-6,-1,w,0,2,k,s,65.90964258080473
-8,10,e,0,4,k,n,0.800686129562245
-6,-1,w,0,2,k,n,43.148691893086735
14,-8,w,0,5,j,s,1.4339528369866665
-8,-10,s,0,4,j,w,1.3808674098681446
-17,5,s,0,5,s,e,0.5413603529334748
14,-8,w,0,5,j,n,1.1530779867752632
-8,-10,s,0,4,j,e,2.5901180895311824
1,-3,n,0,1,j,n,363.2667989663411
-17,5,s,0,5,s,n,0.2931774818662839
-8,-10,s,0,4,j,n,1.7700158009933205
-14,-2,e,0,4,l,w,4.24254875223659
1,-3,n,0,1,j,s,339.1138674840747
