x,y,dir,enemyCount,distBucket,move,face,q
-4,3,w,0,1,k,e,203.8273131652007
-4,3,w,0,1,k,s,202.15218727706733
-4,3,w,0,1,k,n,189.42798897421955
-8,-10,s,0,4,h,n,0.002719398460558582
-8,-10,s,0,4,h,s,0.08177474724315824
-3,-9,w,0,3,s,e,3.1353850944888375
14,-8,w,0,5,h,e,1.467985962650424
-8,-10,s,0,4,h,w,-0.3250651919674258
16,-7,s,4,5,l,s,0.8329101895133022
-3,-9,w,0,3,s,n,1.9914924369082316
-14,-2,e,0,4,j,w,0.803843888659932
1,-3,n,0,1,l,w,253.83584990954483
-14,0,n,0,4,s,w,0.3011005352836651
-6,-1,w,0,2,h,w,10.61271809997433
-14,-2,e,0,4,j,s,1.1919480420493827
18,2,w,4,6,j,w,0.2459214773542723
-14,0,n,0,4,s,s,0.3325659067534274
-14,-2,e,0,4,j,n,0.5789233547435408
-3,-9,w,0,3,s,w,1.165371579591517
-14,0,n,0,4,s,n,0.7532390815836736
-8,-10,s,0,4,h,e,0.06670251329546506
-3,-9,w,0,3,s,s,3.6173430831856273
1,-3,n,0,1,l,e,264.4743659946283
-8,10,e,0,4,l,w,4.650009547795992
-6,-1,w,0,2,h,e,12.684066653583223
-4,3,w,0,1,k,w,203.90467309858002
1,-3,n,0,1,l,n,271.4478021463188
-6,-1,w,0,2,h,s,11.092541806096758
18,2,w,4,6,j,s,0.1389605086731273
1,-3,n,0,1,l,s,271.79349828154085
-6,-1,w,0,2,h,n,17.395504055748795
-6,-1,w,0,2,j,e,48.54848897788909
18,0,w,0,6,j,n,0.09127242249046735
-4,3,w,0,1,j,e,87.51982306811564
-6,-1,w,0,2,j,n,47.624163118815325
18,0,w,0,6,j,w,0.08998150247603551
-4,3,w,0,1,j,n,94.9138630323412
-14,0,n,0,4,s,e,0.5390946529923306
-14,-2,e,0,4,h,w,-0.7472385167046581
-14,-2,e,0,4,h,s,-0.19312502922069827
-14,-2,e,0,4,h,n,-0.2289838867911265
1,-3,n,0,1,k,s,269.314947781521
1,-3,n,0,1,k,w,210.7070571044295
-4,3,w,0,1,j,w,81.38281295494195
1,-3,n,0,1,k,e,281.22557130529344
-4,3,w,0,1,j,s,69.493809211808
1,-3,n,0,1,k,n,202.38794718701422
18,0,w,0,6,j,e,0.20319329080062032
-8,10,e,0,4,k,e,3.9797560002258434
-6,-1,w,0,2,k,e,25.781307608388726
-8,10,e,0,4,k,n,3.820752983304412
-6,-1,w,0,2,k,s,71.673226074328
-6,-1,w,0,2,k,n,33.15499305516091
14,-8,w,0,5,j,s,0.3461220880533711
-8,-10,s,0,4,j,w,1.3836867890302615
14,-8,w,0,5,j,w,0.8568191915623612
-17,5,s,0,5,s,e,0.7256647235844433
14,-8,w,0,5,j,n,0.38632179424648777
-8,-10,s,0,4,j,e,3.1679595530360474
1,-3,n,0,1,j,n,329.90368053022894
-17,5,s,0,5,s,n,0.26072758422656395
-17,5,s,0,5,s,s,0.5682358445309444
1,-3,n,0,1,j,s,363.54076368521953
-14,-2,e,0,4,l,w,1.6696461838529655
1,-3,n,0,1,j,w,320.74472671099693
-17,5,s,0,5,s,w,0.7193381673648099
-8,-10,s,0,4,j,s,2.7856526232023606
-14,-2,e,0,4,l,s,2.4203349059038923
-14,-2,e,0,4,l,n,3.427902501013748
-6,-1,w,0,2,j,s,6.856892184267924
-1,-10,s,0,3,s,w,1.2891918815244359
-8,10,e,0,4,j,n,1.5857614799715845
1,-3,n,0,1,j,e,294.27513581397733
-8,10,e,0,4,j,w,2.772578921239783
-14,-2,e,0,4,l,e,2.4020724542594656
-6,-1,w,0,2,j,w,75.08308669320306
-1,-10,s,0,3,s,s,1.916445380296876
-8,10,e,0,4,j,s,2.4425138387628467
16,6,n,5,5,k,s,0.4945348867644841
-4,3,w,0,1,l,n,149.81256064402365
18,0,w,0,6,h,e,0.7629948903840454
-6,-1,w,0,2,l,n,190.54764538951616
-8,10,e,0,4,l,e,3.161380869971417
-6,-1,w,0,2,l,w,114.36893049028515
-8,10,e,0,4,l,s,4.406192260562106
-4,3,w,0,1,l,w,175.38930785046054
18,0,w,0,6,h,n,0.6578877974280961
-8,10,e,0,4,l,n,7.249929100260278
-6,-1,w,0,2,l,s,78.3944421665364
-4,3,w,0,1,l,s,285.30648463163277
18,0,w,0,6,h,w,1.2269775684718405
18,0,w,0,6,h,s,0.7143498646334708
-6,-1,w,0,2,l,e,127.67966567950108
-4,3,w,0,1,l,e,223.37448656258437
14,-8,w,0,5,h,w,1.2367783564871642
10,-1,e,0,3,l,s,2.458127638591104
-14,-2,e,0,4,k,w,0.550651001388907
10,-1,e,0,3,l,n,0.7437913918275437
-14,-2,e,0,4,k,s,0.8493977269760262
10,-1,e,0,3,l,e,2.145657726741801
14,-8,w,0,5,h,s,2.071364786762049
-14,-2,e,0,4,k,n,0.15073218553649614
-8,10,e,0,4,k,s,2.831432500305742
-6,-1,w,0,2,k,w,62.563410973004295
-14,-2,e,0,4,k,e,0.14573017438775035
-8,10,e,0,4,k,w,4.586769953658182
10,-1,e,0,3,l,w,2.107393110436777
10,-1,e,0,3,s,s,0.7665667867812124
3,-1,e,0,1,h,s,349.6449563629347
3,-1,e,0,1,h,w,344.0118462054916
14,-8,w,0,5,l,e,-0.2865340238918222
-2,2,s,0,0,k,w,340.81952765262434
10,-1,e,0,3,s,n,1.6434656330345467
1,-3,n,0,1,h,s,330.1866867636009
1,-3,n,0,1,h,w,301.7285597173303
3,3,w,0,1,s,w,220.2349085086906
14,-8,w,0,5,l,s,-0.8339119641410799
10,-1,e,0,3,s,w,0.899387754834925
3,3,w,0,1,s,s,198.38084335437807
14,-8,w,0,5,l,w,-0.17177827084225306
-2,2,s,0,0,l,e,328.6853648565597
-8,10,e,0,4,h,w,0.3901379496181524
-8,10,e,0,4,h,s,0.6946718473746057
1,-3,n,0,1,h,e,308.4883972849038
