x,y,dir,enemyCount,distBucket,move,face,q
-8,-4,w,2,2,h,n,96.3499176509585
-4,3,w,0,1,k,e,339.4444866803472
-8,-4,w,2,2,h,s,99.69146428499228
-8,-4,w,2,2,h,w,6.653638276091162
-4,3,w,0,1,k,s,339.11143181281284
-18,0,e,1,6,s,w,1.4161298966389353
16,-9,s,0,6,j,w,77.38017773585386
-4,3,w,0,1,k,n,339.53050943661674
16,-9,s,0,6,j,s,87.77229730121158
-18,0,e,1,6,s,n,6.324155159867427
-8,-10,s,0,4,h,n,153.1371067203753
14,-8,w,0,5,h,n,132.95613073237323
16,-9,s,0,6,j,n,85.34169558550734
-8,-10,s,0,4,h,s,153.10872440129978
-3,-9,w,0,3,s,e,236.12265927747868
-8,-4,w,2,2,h,e,49.69379170953263
14,-8,w,0,5,h,e,140.2166330412973
-8,-10,s,0,4,h,w,152.89861244321372
16,-9,s,0,6,j,e,76.8268229162284
-3,-9,w,0,3,s,n,236.07456358665746
1,-3,n,0,1,l,w,355.9843368212469
-14,-2,e,0,4,j,w,168.6634869814754
-14,0,n,0,4,s,w,148.00852120199707
-6,-1,w,0,2,h,w,294.74653979478063
-14,-2,e,0,4,j,s,173.52141105987553
16,-9,s,0,6,k,e,47.78576925649066
-14,0,n,0,4,s,s,155.15855618759912
-14,-2,e,0,4,j,n,171.25043301259484
-3,-9,w,0,3,s,w,236.07411533551115
-14,0,n,0,4,s,n,152.89906758768666
-8,-10,s,0,4,h,e,153.0615886531479
-17,9,n,2,6,h,n,-0.11831039111751696
-3,-9,w,0,3,s,s,236.11987194763825
1,-3,n,0,1,l,e,355.79910179637903
-14,-2,e,0,4,j,e,167.14113356388094
-8,10,e,0,4,l,w,177.8075908367924
-4,3,w,0,1,k,w,339.88541505556736
-6,-1,w,0,2,h,e,294.8456022656462
1,-3,n,0,1,l,n,355.6958829728631
-6,-1,w,0,2,h,s,294.96219275742715
1,-3,n,0,1,l,s,356.19477356358715
-6,-1,w,0,2,h,n,294.9649278498089
-6,-1,w,0,2,j,e,335.064762308022
18,0,w,0,6,j,n,78.58439723814298
-4,3,w,0,1,j,e,293.1031345081099
-18,2,e,5,6,s,e,2.3392145055638935
-6,-1,w,0,2,j,n,335.17339799081276
18,0,w,0,6,j,w,87.03532673129828
-4,3,w,0,1,j,n,292.93508932103197
-14,2,n,4,4,s,w,0.12208176506262261
18,0,w,0,6,j,s,82.13168195259473
-14,2,n,4,4,s,s,31.076865823128813
-14,0,n,0,4,s,e,155.74151796878118
-14,2,n,4,4,s,n,3.682954746820349
-18,2,e,5,6,s,w,3.8800196088242718
-17,9,n,2,6,h,s,3.0761397748997297
-14,-2,e,0,4,h,w,169.4094464191777
-18,2,e,5,6,s,s,1.2915845679781937
-18,2,e,5,6,s,n,1.3383528972001795
-14,-2,e,0,4,h,s,139.42769255298379
-14,2,n,4,4,s,e,31.587478611556882
-14,-2,e,0,4,h,n,170.76151956502648
1,-3,n,0,1,k,s,354.58238374332143
1,-3,n,0,1,k,w,354.92683664563
-4,3,w,0,1,j,w,292.97185132854145
1,-3,n,0,1,k,e,354.6405505892601
-4,3,w,0,1,j,s,293.08553136113346
1,-3,n,0,1,k,n,354.78036702006096
18,0,w,0,6,j,e,78.22651601893634
-8,10,e,0,4,k,e,177.82669643450902
16,-9,s,0,6,h,w,97.66146821311771
16,-9,s,0,6,h,s,98.09698122743103
14,-8,w,0,5,j,e,115.98919950004347
-6,-1,w,0,2,k,e,317.87030247386434
-8,10,e,0,4,k,n,177.6446008762179
-6,-1,w,0,2,k,s,318.00611134171913
-6,-1,w,0,2,k,n,317.87226581724707
16,-9,s,0,6,h,n,111.67649330433142
14,-8,w,0,5,j,s,123.21972101608458
-8,-10,s,0,4,j,w,178.15004564423603
14,-8,w,0,5,j,w,123.15076148730452
16,-9,s,0,6,h,e,98.60996476930313
-17,5,s,0,5,s,e,94.41146790040574
14,-8,w,0,5,j,n,120.89284531940035
-8,-10,s,0,4,j,e,178.14274193652886
-17,5,s,0,5,s,n,94.94626059847515
1,-3,n,0,1,j,n,408.15835755884876
-8,-10,s,0,4,j,n,178.09311870603614
-17,5,s,0,5,s,s,98.58792744302285
1,-3,n,0,1,j,s,408.0658449010645
-14,-2,e,0,4,l,w,188.0695739271001
-14,-2,e,0,4,l,s,203.58188166038357
1,-3,n,0,1,j,w,407.90172243180467
-8,-10,s,0,4,j,s,178.06656910946552
-17,5,s,0,5,s,w,100.3674247775844
-8,10,e,0,4,j,n,164.75009682004503
-6,-1,w,0,2,j,s,335.213566498829
-14,-2,e,0,4,l,n,204.21552900413488
-1,-10,s,0,3,s,w,220.6382369698905
1,-3,n,0,1,j,e,407.8695821100182
-8,10,e,0,4,j,w,164.6378450114412
-14,-2,e,0,4,l,e,203.7297425733324
-6,-1,w,0,2,j,w,335.2921119390885
-1,-10,s,0,3,s,s,220.6462106198559
-8,10,e,0,4,j,s,164.15969585737946
-4,3,w,0,1,l,n,339.43452765275146
18,0,w,0,6,h,e,82.33281200702186
-6,-1,w,0,2,l,n,342.1819997709667
-8,10,e,0,4,l,e,177.6526340291446
-6,-1,w,0,2,l,w,342.4299562429189
-8,10,e,0,4,l,s,177.79717953053216
-4,3,w,0,1,l,w,339.5161537105984
18,0,w,0,6,h,n,99.54058088577418
-6,-1,w,0,2,l,s,343.1719754546742
-8,10,e,0,4,l,n,177.86453639273995
-4,3,w,0,1,l,s,340.67680806794215
18,0,w,0,6,h,w,84.7408614160458
18,0,w,0,6,h,s,90.48966436111488
-6,-1,w,0,2,l,e,342.29817660458355
-4,3,w,0,1,l,e,340.0174997227847
14,-8,w,0,5,h,w,132.29282002779254
10,-1,e,0,3,l,s,251.70259812542113
-14,-2,e,0,4,k,w,176.31756754655632
10,-1,e,0,3,l,n,251.6804608789066
-14,-2,e,0,4,k,s,131.26454736404352
10,-1,e,0,3,l,e,251.68584470261618
14,-8,w,0,5,h,s,141.59258051539535
-14,-2,e,0,4,k,n,174.3550515301928
-8,10,e,0,4,k,s,177.8016504474609
-6,-1,w,0,2,k,w,317.9186316867928
-14,-2,e,0,4,k,e,174.33578588552624
-8,10,e,0,4,k,w,177.8133032881124
10,-1,e,0,3,l,w,251.6973468514695
10,-1,e,0,3,s,s,251.7049825903042
14,-8,w,0,5,l,n,102.75104570472435
3,-1,e,0,1,h,s,407.6125113811769
3,-1,e,0,1,h,w,407.5751493693135
-2,2,s,0,0,k,w,407.5073122722037
14,-8,w,0,5,l,e,104.4405554718115
10,-1,e,0,3,s,n,251.65965074490592
1,-3,n,0,1,h,s,404.38280860548156
1,-3,n,0,1,h,w,403.86625261921415
3,3,w,0,1,s,w,335.2631548160796
14,-8,w,0,5,l,s,95.84813597423259
10,-1,e,0,3,s,w,251.70178741896513
3,3,w,0,1,s,s,335.2553217887979
14,-8,w,0,5,l,w,102.85476623382618
-8,10,e,0,4,h,w,152.26413340891142
-2,2,s,0,0,l,e,407.9319141898169
-17,-3,s,3,5,k,w,9.474680475622376
-8,10,e,0,4,h,s,151.8243419074283
1,-3,n,0,1,h,e,403.9843709965036
3,1,n,0,1,s,e,381.4598129843052
-10,-9,w,0,4,h,w,144.21578946875712
-10,-9,w,0,4,h,s,144.66378932309453
1,-3,n,0,1,h,n,403.70245930394333
-17,-3,s,3,5,k,s,1.3660349376938878
-2,2,s,0,0,l,w,407.74339796907356
-8,10,e,0,4,h,e,152.39206646138038
