x,y,dir,enemyCount,distBucket,move,face,q
-8,-4,w,2,2,h,n,77.25252836337746
-4,3,w,0,1,k,e,339.5234697153846
-8,-4,w,2,2,h,s,20.740042965307847
-8,-4,w,2,2,h,w,13.014317272714065
-4,3,w,0,1,k,s,339.34053708259285
16,-9,s,0,6,j,w,12.458855100583
-4,3,w,0,1,k,n,339.39043790147775
16,-9,s,0,6,j,s,10.148725524265561
-18,0,e,1,6,s,n,0.15570850482284143
-8,-10,s,0,4,h,n,100.1019103107639
14,-8,w,0,5,h,n,55.393661043844546
16,-9,s,0,6,j,n,13.159256654532983
-8,-10,s,0,4,h,s,106.46222898938632
-18,0,e,1,6,s,e,0.15570850482284143
-3,-9,w,0,3,s,e,232.69388407179207
-8,-4,w,2,2,h,e,42.06844929457421
14,-8,w,0,5,h,e,38.27651006989317
-8,-10,s,0,4,h,w,119.84286381406227
16,-9,s,0,6,j,e,13.464048383775713
-3,-9,w,0,3,s,n,233.92282590438808
1,-3,n,0,1,l,w,354.885507147072
-14,-2,e,0,4,j,w,51.94703536286019
-17,9,n,2,6,h,e,1.2996675024040887
-14,0,n,0,4,s,w,46.716861157184255
-6,-1,w,0,2,h,w,295.31101496851073
-14,-2,e,0,4,j,s,68.67688703764458
16,-9,s,0,6,k,e,5.610291414175801
-14,0,n,0,4,s,s,52.27161524657136
-14,-2,e,0,4,j,n,60.05838836632559
-3,-9,w,0,3,s,w,234.1669472469186
-14,0,n,0,4,s,n,42.685571753095196
-8,-10,s,0,4,h,e,115.70613584617274
-17,9,n,2,6,h,n,-0.474126937866299
-3,-9,w,0,3,s,s,234.06798521110397
1,-3,n,0,1,l,e,354.9406439645096
-14,-2,e,0,4,j,e,52.82778107603872
-8,10,e,0,4,l,w,148.71139336550536
-4,3,w,0,1,k,w,339.48443359962897
-6,-1,w,0,2,h,e,295.41610107730367
1,-3,n,0,1,l,n,354.6860118439158
-6,-1,w,0,2,h,s,295.486620053458
1,-3,n,0,1,l,s,354.2720660701303
-6,-1,w,0,2,h,n,295.32147160785706
18,0,w,0,6,j,n,6.090681191249651
-6,-1,w,0,2,j,e,336.07950871543324
-4,3,w,0,1,j,e,293.93956678839317
-6,-1,w,0,2,j,n,336.05480045333684
18,0,w,0,6,j,w,9.129804449509162
-4,3,w,0,1,j,n,293.96769504805485
-14,2,n,4,4,s,w,3.052151493478118
18,0,w,0,6,j,s,10.28922343611844
-14,2,n,4,4,s,s,37.39304635651483
-14,0,n,0,4,s,e,49.35109283195196
-17,9,n,2,6,h,s,0.5055602400903499
-14,-2,e,0,4,h,w,54.48063848634386
-18,2,e,5,6,s,s,1.5008955395645402
-14,-2,e,0,4,h,s,47.27411074726784
-14,2,n,4,4,s,e,15.139462330602766
-14,-2,e,0,4,h,n,65.5488294801061
1,-3,n,0,1,k,s,353.18557949706917
1,-3,n,0,1,k,w,353.2586193060966
-4,3,w,0,1,j,w,293.9975101459261
1,-3,n,0,1,k,e,353.2813866074872
-4,3,w,0,1,j,s,293.9687687085885
1,-3,n,0,1,k,n,353.53288882057046
18,0,w,0,6,j,e,9.064459345322515
-8,10,e,0,4,k,e,151.0348721429854
16,-9,s,0,6,h,w,15.59215063688736
14,-8,w,0,5,j,e,10.852107830841813
16,-9,s,0,6,h,s,21.26364678015841
-6,-1,w,0,2,k,e,319.62080491828345
-6,-1,w,0,2,k,s,319.42777317061206
-8,10,e,0,4,k,n,165.9030865344019
-6,-1,w,0,2,k,n,319.22346203580025
16,-9,s,0,6,h,n,19.58174734966115
14,-8,w,0,5,j,s,10.482329797647665
-8,-10,s,0,4,j,w,151.87395352282715
16,-9,s,0,6,h,e,21.81417759577559
14,-8,w,0,5,j,w,12.798924517821904
-17,5,s,0,5,s,e,22.721536316526056
14,-8,w,0,5,j,n,19.613055557310158
-8,-10,s,0,4,j,e,154.3454374130788
-17,5,s,0,5,s,n,11.742668651035554
1,-3,n,0,1,j,n,404.73568475968597
-8,-10,s,0,4,j,n,160.4946353546543
-17,5,s,0,5,s,s,22.337654790059382
1,-3,n,0,1,j,s,404.656417673406
-14,-2,e,0,4,l,w,111.6111609405189
1,-3,n,0,1,j,w,404.022070813407
-8,-10,s,0,4,j,s,158.64414550858555
-14,-2,e,0,4,l,s,121.34083707819829
-17,5,s,0,5,s,w,19.42850729079178
-6,-1,w,0,2,j,s,336.0494376635752
-8,10,e,0,4,j,n,111.5222372045674
-1,-10,s,0,3,s,w,210.93552560255276
-14,-2,e,0,4,l,n,127.09940174310195
1,-3,n,0,1,j,e,404.7540992008755
-8,10,e,0,4,j,w,128.4189128173281
-14,-2,e,0,4,l,e,153.36106448628877
-6,-1,w,0,2,j,w,335.92308472159544
-1,-10,s,0,3,s,s,204.61083086664556
-8,10,e,0,4,j,s,118.28813579658559
-4,3,w,0,1,l,n,339.32520475394864
18,0,w,0,6,h,e,17.64495426404484
-6,-1,w,0,2,l,n,343.92037004473855
-8,10,e,0,4,l,e,156.61044681867398
-6,-1,w,0,2,l,w,343.92971775247264
-4,3,w,0,1,l,w,339.52021829136487
-8,10,e,0,4,l,s,149.85292113554917
18,0,w,0,6,h,n,15.755652328394595
-6,-1,w,0,2,l,s,343.9536537218239
-8,10,e,0,4,l,n,155.67163234225058
-4,3,w,0,1,l,s,339.41380732750883
18,0,w,0,6,h,w,15.015055171689308
18,0,w,0,6,h,s,15.9468965896726
-6,-1,w,0,2,l,e,344.0098595018193
-4,3,w,0,1,l,e,339.5032932900321
14,-8,w,0,5,h,w,27.578498345424208
10,-1,e,0,3,l,s,245.78189479532296
-14,-2,e,0,4,k,w,79.02895753982467
10,-1,e,0,3,l,n,246.14607019305413
-14,-2,e,0,4,k,s,57.96052954643639
10,-1,e,0,3,l,e,249.29974577779953
14,-8,w,0,5,h,s,47.67281103502302
-14,-2,e,0,4,k,n,69.97792342969237
-8,10,e,0,4,k,s,141.56119491048315
-6,-1,w,0,2,k,w,319.0836954993768
-14,-2,e,0,4,k,e,89.77893659281241
-8,10,e,0,4,k,w,150.65183307830765
10,-1,e,0,3,l,w,247.33732636861558
10,-1,e,0,3,s,s,249.33976076077892
14,-8,w,0,5,l,n,8.968597417065212
3,-1,e,0,1,h,s,404.29459780456347
3,-1,e,0,1,h,w,404.48581216475907
-2,2,s,0,0,k,w,404.12877129571314
14,-8,w,0,5,l,e,13.71903652661731
10,-1,e,0,3,s,n,249.556407299529
1,-3,n,0,1,h,s,400.11040158520615
1,-3,n,0,1,h,w,400.3301038575933
3,3,w,0,1,s,w,335.9123344524947
14,-8,w,0,5,l,s,7.152000483332015
10,-1,e,0,3,s,w,248.7010863320889
3,3,w,0,1,s,s,335.4475442665607
14,-8,w,0,5,l,w,12.260680461020684
-8,10,e,0,4,h,w,88.41623446405724
-2,2,s,0,0,l,e,403.3594035285177
-8,10,e,0,4,h,s,107.71196433735653
1,-3,n,0,1,h,e,399.22617562034355
3,1,n,0,1,s,e,378.7532525779826
-10,-9,w,0,4,h,w,84.74980798790851
1,-3,n,0,1,h,n,400.2656218580802
-10,-9,w,0,4,h,s,81.9167060810179
-2,2,s,0,0,l,w,403.38707369299726
-8,10,e,0,4,h,e,102.01750270002434
-17,-3,s,3,5,k,n,3.079411933518682
-10,-9,w,0,4,h,n,59.92580010917382
-8,10,e,0,4,h,n,98.88976967810528
-2,2,s,0,0,l,n,403.2713594846352
-10,-9,w,0,4,h,e,83.47643825130689
-2,2,s,0,0,l,s,403.00504142627653
-1,-10,s,0,3,s,n,212.31685469455348
-2,2,s,0,0,j,s,352.3668489297386
-1,-10,s,0,3,s,e,206.00951634395238
-2,2,s,0,0,j,w,352.6667568184905
14,-8,w,0,5,k,e,8.83607192918979
-8,10,e,0,4,j,e,128.6634445229107
3,1,n,0,1,s,n,378.70787423329904
14,-8,w,0,5,k,w,19.99554121157337
3,1,n,0,1,s,s,379.32811914171134
3,1,n,0,1,s,w,379.24234900237497
14,-8,w,0,5,k,n,13.50295016461142
14,-8,w,0,5,k,s,13.649964210904987
-2,2,s,0,0,k,e,402.1302517171332
3,-1,e,0,1,j,e,400.421357070506
-17,-3,s,3,5,j,e,1.1370496176600806
10,-1,e,0,3,s,e,247.13257196773804
3,-1,e,0,1,j,n,400.3096244279913
3,-1,e,0,1,j,s,401.38653425320166
-2,2,s,0,0,k,s,403.03981660907885
3,-1,e,0,1,j,w,399.15901755497816
-2,2,s,0,0,k,n,401.34412344675457
18,0,w,0,6,k,s,11.590058244829722
0,9,n,0,3,h,e,224.66572747902498
18,0,w,0,6,k,w,13.225423133001007
0,9,n,0,3,h,n,226.9625303170116
16,-9,s,0,6,l,w,7.233424735815832
0,9,n,0,3,h,s,221.55457536672805
16,-9,s,0,6,l,s,4.2000981425155
0,9,n,0,3,h,w,226.66653289661937
-14,-2,e,0,4,h,e,45.34370844261423
18,0,w,0,6,k,e,10.468478769955516
-2,2,s,0,0,j,n,352.5803653555618
-2,2,s,0,0,j,e,352.835394291932
18,0,w,0,6,k,n,7.445529040155025
-2,2,s,0,0,h,s,352.5577837424079
